crew,return,title,release_date,budget,revenue
Stephen Carpenter,0,Soul Survivors,2001-09-06,0.0,0.0
Donald E. Westlake,0.0,What's the Worst That Could Happen?,2001-05-31,45000000.0,0.0
Ivan Reitman,0,Meatballs,1979-06-28,0.0,0.0
Lee Hae-young,0.0,26 Years,2012-11-29,4330000.0,0.0
Claude Autant-Lara,0,Keep an Eye on Amelia,1949-12-16,0.0,0.0
George Fenton,0,Ae Fond Kiss...,2004-02-13,0.0,0.0
John Badham,0,American Flyers,1985-08-16,0.0,1400000.0
Peter Krause,0,Civic Duty,2006-04-26,0.0,0.0
Jerry Weintraub,0,All Night Long,1981-03-06,0.0,10000000.0
Walter J. Harvey,0,Bulldog Drummond at Bay,1937-05-01,0.0,0.0
John Lasseter,0,Paperman,2012-11-02,0.0,0.0
Moshé Mizrahi,0,I Love You Rosa,1972-02-12,0.0,0.0
Jerry Weintraub,0,Nancy Drew,2007-06-15,0.0,0.0
Lü Yue,2.174185,Assembly,2007-10-09,16000000.0,34786960.0
Kôji Suzuki,0,Sadako 3D,2012-05-12,0.0,0.0
Paul S. Mezey,0,The Girl,2012-01-15,0.0,0.0
Lucy Mulloy,0,Una noche,2012-02-15,0.0,0.0
David Redmon,0,Downeast,2012-06-15,0.0,0.0
Charlie Paul,0,For No Good Reason,2012-10-12,0.0,0.0
Ryan Gifford,0,Prohibition,2011-10-02,0.0,0.0
Denise Chamian,2.0150762666666666,The Great Debaters,2007-12-27,15000000.0,30226144.0
James P. Hogan,0,Bulldog Drummond's Bride,1939-07-12,0.0,0.0
Louis King,0,Bulldog Drummond's Revenge,1937-12-16,0.0,0.0
Michael Nyman,0,Man on Wire,2008-07-25,0.0,2957978.0
Alex Gibney,0,"Park Avenue: Money, Power & The American Dream",2012-01-01,0.0,0.0
Ersoy Güler,0,Sağ Salim,2012-05-18,0.0,0.0
Andrew Bowser,0.0,The Mother Of Invention,2010-06-25,60000.0,0.0
Michael Shumway,0,Alienate,2016-02-22,0.0,0.0
Irving Thalberg,0.0,Greed,1924-12-04,546883.0,0.0
Jay Roach,0,Recount,2008-05-28,0.0,0.0
Yoshihiro Nakamura,0,"The Foreign Duck, the Native Duck and God in a Coin Locker",2007-06-23,0.0,0.0
Seth Zvi Rosenfeld,0,King of the Jungle,2000-10-12,0.0,27.0
Yoshihiro Ishikawa,0,Bakeneko: A Vengeful Spirit,1968-07-12,0.0,0.0
Linda Kandel,0,Mascara,1999-05-07,0.0,0.0
Jeff Kanew,0,Revenge of the Nerds,1984-07-20,0.0,0.0
Brian Eno,0,Glitterbug,1994-03-05,0.0,0.0
Richard Martin,0.0,Slap Shot 3: The Junior League,2008-12-17,4500000.0,0.0
Kôyû Ohara,0,White Rose Campus: Then... Everybody Gets Raped,1982-06-25,0.0,0.0
David Gordon Green,0,Snow Angels,2008-03-07,0.0,414404.0
Greg Griffin,0,Blood Sisters of Lesbian Sin,1997-01-01,0.0,0.0
Jon Harris,2.625,Starter for 10,2006-09-13,8.0,21.0
Klaus Maeck,0,Fraktus,2012-11-06,0.0,0.0
Bart Freundlich,0.0,Trust the Man,2005-09-01,9000000.0,0.0
Robert Vince,0,Snow Buddies,2008-02-05,0.0,0.0
Nick Doob,0.0,Elaine Stritch: At Liberty,2002-01-01,300000.0,0.0
Ron Underwood,6.630881148148148,City Slickers,1991-06-07,27000000.0,179033791.0
Stephen Gyllenhaal,0,Certain Fury,1985-03-01,0.0,0.0
J.J. Abrams,8.44172907755102,Star Wars: The Force Awakens,2015-12-15,245000000.0,2068223624.0
April Ferry,0,The Edge of Love,2008-05-15,0.0,0.0
William M. Anderson,0.0,.45,2006-11-30,5000000.0,0.0
Alfredo De Villa,0.0,Adrift in Manhattan,2007-01-10,4000000.0,0.0
Michel Levesque,0,Hot Summer Week,1972-06-21,0.0,0.0
Ian Jones,0.15,Ten Canoes,2006-06-29,2000000.0,300000.0
David P. Lewis,0,City on Fire,1979-07-11,0.0,0.0
Jacob Gentry,0,My Super Psycho Sweet 16: Part 3,2012-03-13,0.0,0.0
Richard Roxburgh,0,"Romulus, My Father",2007-05-19,0.0,0.0
Tudor Giurgiu,0,Somewhere in Palilula,2012-04-20,0.0,0.0
Darren Ashton,0,Thunderstruck,2004-05-20,0.0,0.0
Yasutaka Tsutsui,0,The Girl Who Leapt Through Time,2006-07-15,0.0,3800000.0
George Dorobantu,0.0,Elevator,2008-04-04,260.0,0.0
Marit Allen,0,La Vie en Rose,2007-02-08,0.0,0.0
A. R. Rahman,8.351648351648352,Ghajini,2008-12-25,9100000.0,76000000.0
Antti Heikki Pesonen,0,So It Goes,2012-03-09,0.0,0.0
Tarun Mansukhani,2.0,Dostana,2008-11-13,10000000.0,20000000.0
Yash Chopra,0,Rab Ne Bana Di Jodi,2008-12-11,0.0,0.0
A. R. Rahman,1.551905262152612,Jodhaa Akbar,2008-02-15,8376800.0,13000000.0
Tomáš Vorel,0,The Gnome,2005-03-17,0.0,0.0
Daniel Alfredson,0,Wolf,2008-04-04,0.0,0.0
Rick Yune,0,The Fifth Commandment,2008-08-21,0.0,0.0
Jordan Downey,0.0,ThanksKilling 3,2012-11-13,100000.0,0.0
Jag Mundhra,0,Shoot on Sight,2008-08-22,0.0,0.0
Martin Persson,0,Morgan Pålsson - Världsreporter,2008-02-22,0.0,0.0
David Barker,0,Daylight,2011-07-17,0.0,0.0
Friðrik Þór Friðriksson,0,A Mother's Courage,2009-01-01,0.0,0.0
Peter Levy,0.10221757142857144,Cutthroat Island,1995-12-22,98000000.0,10017322.0
Kerry Barden,0,Elliot Loves,2012-05-04,0.0,0.0
Mikkel Brænne Sandemose,0.5725146153846153,Ragnarok,2013-11-11,6500000.0,3721345.0
John Lee Hancock,3.2155594285714284,Saving Mr. Banks,2013-11-16,35000000.0,112544580.0
Daniel Boulanger,0,The Deadly Trap,1971-06-09,0.0,0.0
Lonny Price,0,Company,2011-06-15,0.0,0.0
Rudolph Maté,0,The Rawhide Years,1955-11-28,0.0,0.0
Silvio Soldini,0,Agatha and the Storm,2004-04-27,0.0,0.0
Kentaro Haneda,0,Barefoot Gen,1983-07-21,0.0,0.0
Hélène Giraud,1.5228426395939085,Minuscule: Valley of the Lost Ants,2013-11-17,19700000.0,30000000.0
Ian Roumain,0,That Guy... Who Was in That Thing,2012-01-01,0.0,0.0
Kentaro Haneda,0,Barefoot Gen 2,1986-06-14,0.0,0.0
Nana Patekar,0,Prahaar: The Final Attack,1991-01-01,0.0,0.0
Alexandre Dumas père,0,The Three Musketeers,1933-04-07,0.0,0.0
Wayne Coyne,0,Christmas on Mars,2008-11-11,0.0,0.0
Paul Verhoeven,0,Tricked,2012-09-25,0.0,0.0
J.S. Cardone,0,Outside Ozona,1998-12-18,0.0,0.0
Jonathan Halperin,0,Code Rush,2000-04-25,0.0,0.0
Mamoru Oshii,0,Ghost in the Shell 2.0,2008-07-12,0.0,0.0
Michelle Mower,0,The Preacher's Daughter,2012-08-31,0.0,0.0
,0,The Magician,2005-06-18,0.0,0.0
Boris Durov,0,Pirates of the 20th Century,1980-07-14,0.0,0.0
Fyodor Bondarchuk,2.526315789473684,9th Company,2005-09-19,9500000.0,24000000.0
George Lucas,0,Electronic Labyrinth THX 1138 4EB,1967-03-14,0.0,0.0
Nancy Foy,0.0,100 Feet,2008-07-22,10000000.0,0.0
Max Steiner,0,The Sisters,1938-10-14,0.0,0.0
Richard Kelly,0.21175366666666667,Donnie Darko,2001-01-18,6000000.0,1270522.0
Dale Beldin,0.0,Dark Star,1974-04-01,60000.0,0.0
Victoria Burrows,0,The Thin Blue Lie,2000-08-13,0.0,0.0
Juan Bosch,0,And the Crows Will Dig Your Grave,1971-08-11,0.0,0.0
Daniel Calparsoro,0,Combustion,2013-04-26,0.0,0.0
David Michael Latt,0.0,Allan Quatermain and the Temple of Skulls,2008-04-29,50000.0,0.0
Pascal Chaumeil,0,A Long Way Down,2014-03-20,0.0,7176347.0
Joe Chappelle,0,Already Dead,2007-12-11,0.0,0.0
Charles Roven,0,Justice League,2017-11-15,0.0,0.0
Jeff Conaway,0,Bikini Summer II,1992-01-01,0.0,0.0
Chris Crow,0,A Viking Saga: The Darkest Day,2013-06-10,0.0,0.0
John Johnson,0.0,Skeleton Key 2: 667 Neighbor of the Beast,2008-09-02,5000.0,0.0
Sam Green,0,The Weather Underground,2002-01-01,0.0,0.0
Thomas Newman,1.0407364830238854,The Rapture,1991-10-04,1227401.0,1277401.0
Richard Rich,0.0,The Swan Princess Christmas,2012-11-05,40000000.0,0.0
Daniel Hubbard,0,Battle For Haditha,2007-09-11,0.0,0.0
Paul Schrader,0.29458085714285714,Auto Focus,2002-10-18,7000000.0,2062066.0
Jennifer Todd,0.35731965714285713,Zoom,2006-08-11,35000000.0,12506188.0
Chang Cheh,0,The Magnificent Ruffians,1979-09-20,0.0,0.0
Sun Chung,0,The Kung Fu Instructor,1979-06-16,0.0,0.0
Chris Stokes,0,You Got Served,2004-01-30,0.0,0.0
Nico Leunen,0,Kid,2013-01-16,0.0,0.0
Raúl Fuentes,0,Everybody's Got Somebody... Not Me,2012-11-02,0.0,0.0
David Buttolph,0,Calamity Jane,1953-11-04,0.0,0.0
Justin Theroux,0,Dedication,2007-01-22,0.0,0.0
Steven Soderbergh,0.0,"Sex, Lies, and Videotape",1989-08-18,1200000.0,0.0
Bill Ewing,0,End of the Spear,2005-12-02,0.0,0.0
Chris Cullari,0,The Sleepover,2013-10-12,0.0,0.0
Sean McNamara,0,Bratz,2007-08-03,0.0,0.0
Sergiu Nicolaescu,0,15,2005-10-21,0.0,28.0
Dianne Crittenden,0.15451764705882354,Captivity,2007-03-09,17000000.0,2626800.0
Mark Burg,0,Catacombs,2007-06-01,0.0,0.0
Marcello Andrei,0,Season For Assassins,1975-12-27,0.0,0.0
Charlotte Brandström,0,Johan Falk: Kodnamn Lisa,2013-03-15,0.0,0.0
Nicholas DiBella,0,Cherry Crush,2007-02-16,0.0,0.0
John Kafka,0.0,Cinderella II: Dreams Come True,2002-02-23,5000000.0,0.0
David Cronenberg,0,M. Butterfly,1993-09-09,0.0,1499795.0
Oz Scott,0.0,Spanish Judges,2000-10-16,3500000.0,0.0
Farah Khan,0,Main Hoon Na,2004-04-30,0.0,0.0
Ian Jones,0.0,Bad Boy Bubby,1993-09-01,750000.0,0.0
Robert Stevenson,0,The Love Bug,1968-12-22,0.0,0.0
Artie Lange,0,Beer League,2006-09-15,0.0,0.0
David Nerlich,0.0,Black Water,2007-06-01,700.0,0.0
Flavio Martínez Labiano,0.21276846153846155,Timecrimes,2007-09-20,2600000.0,553198.0
Julio Médem,0,Lovers of the Arctic Circle,1998-09-04,0.0,0.0
Vincent McEveety,0,Herbie Goes To Monte Carlo,1977-06-24,0.0,0.0
Justine Baddeley,0,Balls Out: The Gary Houseman Story,2009-01-13,0.0,0.0
Christian Vuissa,0,The Letter Writer,2011-11-15,0.0,0.0
Peter Kubelka,0,Arnulf Rainer,1960-12-31,0.0,0.0
Charles Burmeister,0,Columbus Day,2008-08-29,0.0,0.0
John Lasseter,0,The Legend of Mor'du,2012-01-01,0.0,0.0
Michael Bafaro,0,The Devil's Ground,2008-05-19,0.0,0.0
Fred Savage,3.0328996666666668,Daddy Day Camp,2007-08-08,6000000.0,18197398.0
Markus Selin,0.0,Dark Floors,2008-02-06,4300000.0,0.0
Chiang Hsing-Lung,0,The Sword Stained with Royal Blood,1981-03-06,0.0,0.0
Adam Gross,0,DeVour,2005-05-31,0.0,0.0
Oliver Dieckmann,0,When Santa Fell to Earth,2011-11-23,0.0,0.0
Lisa Beach,0,The Flock,2007-08-04,0.0,0.0
Bill Colleran,0,Hamlet from the Lunt-Fontanne Theatre,1964-09-23,0.0,0.0
Christine Vachon,0.1485796,Party Monster,2003-09-05,5000000.0,742898.0
Renata Litvinova,2.434685,Rita's Last Fairy Tale,2012-11-01,200000.0,486937.0
Walter F. Parkes,0,War Games: The Dead Code,2008-07-29,0.0,0.0
Graham Baker,0,Impulse,1984-09-28,0.0,0.0
Spike Jonze,0,Jackass 2.5,2007-12-18,0.0,0.0
Géraldine Nakache,0.0,Nous York,2012-11-06,5.0,0.0
Aditya Chopra,0,Aaja Nachle,2007-11-30,0.0,3800000.0
Kim Ki-duk,0,The Coast Guard,2002-11-22,0.0,0.0
Andrew Stanton,4.200566182857143,Up,2009-05-13,175000000.0,735099082.0
Kanti Shah,0,Hooligan,1998-09-04,0.0,0.0
Larry J. Franco,3.848267975,2012,2009-10-10,200000000.0,769653595.0
Raj Kanwar,0,Jeet,1996-08-23,0.0,0.0
Marteinn Thorisson,0,"Niko 2 - Little Brother, Big Trouble",2012-10-12,0.0,17000000.0
Yash Chopra,0,Chak De! India,2007-08-10,0.0,19300000.0
Jane Adams,0,All the Light in the Sky,2012-11-03,0.0,0.0
James Wong,0.0,Dragonball Evolution,2009-04-01,100000000.0,0.0
Peter Medak,0,David Copperfield,2001-12-25,0.0,0.0
Ted V. Mikels,0,Ten Violent Women,1982-03-01,0.0,0.0
Marcos Siega,0,Pretty Persuasion,2005-01-22,0.0,0.0
BC Smith,0.007507058823529412,Standing Still,2005-01-02,1700000.0,12762.0
Mat Whitecross,0,Spike Island,2012-10-11,0.0,0.0
Elmore Leonard,0,3:10 to Yuma,1957-08-07,0.0,0.0
Luciano Martino,0,Arizona Colt,1966-08-27,0.0,0.0
Alejandro González Iñárritu,4.382011894736842,Pan's Labyrinth,2006-05-27,19000000.0,83258226.0
Henry Bumstead,0,Funny Farm,1988-06-03,0.0,0.0
Tony Pierce-Roberts,0.0,Home of the Brave,2006-12-15,12000000.0,0.0
Gavin Maxwell,0,Wild China,2008-01-01,0.0,0.0
Philippe Martinez,0,Wake of Death,2004-12-28,0.0,0.0
Peter Aalbæk Jensen,0.0,Princess,2006-06-16,8.0,0.0
Peter Wellington,0,Cottage Country,2013-03-13,0.0,0.0
Barry Stone,0.0,Lie with Me,2005-09-10,2200000.0,0.0
Gary Chapman,0.5565173142857143,Valiant,2005-03-25,35000000.0,19478106.0
Takena Nagao,0,Chainsaw Maid,2007-12-08,0.0,0.0
Witold Sobocinski,0,The Phantom,1984-07-05,0.0,0.0
Dana Doron,0,Numbered,2012-10-14,0.0,0.0
Alfre Woodard,1.454054,Beauty Shop,2005-06-02,25000000.0,36351350.0
Alberto Iglesias,0,Take My Eyes,2003-10-08,0.0,0.0
Anthony Hickox,0.0,Submerged,2005-05-06,15000000.0,0.0
Jay Chapman,0,Moshe Kasher: Live in Oakland,2012-10-26,0.0,0.0
Jennifer Todd,1.1069328846153845,Boiler Room,2000-02-18,26000000.0,28780255.0
Marco Spoletini,0,Gli equilibristi,2012-01-01,0.0,0.0
David Webb Peoples,0,Unforgiven,2013-09-13,0.0,0.0
Mack Sennett,0,Fatty and Mabel Adrift,1916-01-09,0.0,0.0
Ryan Sage,0,A BIG Love Story,2012-04-29,0.0,0.0
Tobi Baumann,0,Vollidiot,2007-04-11,0.0,0.0
Erik Smith Meyer,0,The Black Lapp,2003-04-11,0.0,0.0
Avni Tuna Dilligil,0,Evim Sensin,2012-11-02,0.0,0.0
Nelson Coates,1.9172374166666666,Aquamarine,2006-03-03,12000000.0,23006849.0
Aditya Chopra,0,Tashan,2008-04-25,0.0,0.0
Yash Chopra,4.217857,Dhoom 2,2006-11-24,11000000.0,46396427.0
John Waters,0.0,Cecil B. Demented,2000-05-17,10000000.0,0.0
Volker Schlöndorff,0,Calm at Sea,2012-03-21,0.0,0.0
Charles Lang,0,A Flea In Her Ear,1968-11-27,0.0,0.0
Joseph Middleton,0,Garden Party,2008-07-11,0.0,0.0
Kalina Ivanov,0,My Sassy Girl,2008-05-26,0.0,0.0
JP Siili,0,Blackout,2008-12-26,0.0,0.0
JP Siili,0,Blackout,2008-12-26,0.0,0.0
JP Siili,0,Blackout,2008-12-26,0.0,0.0
JP Siili,0,Blackout,2008-12-26,0.0,0.0
JP Siili,0,Blackout,2008-12-26,0.0,0.0
JP Siili,0,Blackout,2008-12-26,0.0,0.0
JP Siili,0,Blackout,2008-12-26,0.0,0.0
JP Siili,0,Blackout,2008-12-26,0.0,0.0
JP Siili,0,Blackout,2008-12-26,0.0,0.0
John Bradshaw,0,Mistletoe Over Manhattan,2011-11-06,0.0,0.0
Phil Karlson,0,They Rode West,1954-12-04,0.0,0.0
Steven Soderbergh,0,Criminal,2004-10-07,0.0,0.0
Robert Rodriguez,1.38851932,The Adventures of Sharkboy and Lavagirl,2005-06-10,50000000.0,69425966.0
Avy Kaufman,12.7174115,Brokeback Mountain,2005-09-02,14000000.0,178043761.0
Susie Figgis,0,Breakfast on Pluto,2005-09-03,0.0,0.0
David Leaf,0,The U.S. vs. John Lennon,2006-09-15,0.0,0.0
Mario Van Peebles,0,Gang in Blue,1996-09-08,0.0,0.0
Edward Norton,0.0,The Painted Veil,2006-12-09,19400000.0,0.0
Ilan Duran Cohen,0,Lovers of the Café Flore,2006-01-26,0.0,0.0
,0,The Dancing Pig,1907-08-10,0.0,0.0
Jessica Yu,0,Ping Pong Playa,2007-01-01,0.0,0.0
Oneita Parker,0,Holding Trevor,2007-06-16,0.0,0.0
Ken Burns,0,Jazz,2001-01-09,0.0,0.0
Henry Jaglom,0.0,Irene in Time,2009-06-19,2000000.0,0.0
Frank Miller,0.0,"Batman: The Dark Knight Returns, Part 2",2013-01-18,3500000.0,0.0
Jack Regas,0,"It's A Bird, It's A Plane, It's Superman!",1975-02-21,0.0,0.0
April Webster,0,The Librarian: Quest for the Spear,2004-12-05,0.0,0.0
Jonathan Frakes,0,The Librarian: Return to King Solomon's Mines,2006-10-09,0.0,0.0
Pablo Stoll,0,Hiroshima,2009-09-15,0.0,0.0
Caroline Strubbe,0,Lost Persons Area,2009-05-16,0.0,0.0
Kim Eun-tae,0,Lover,2005-12-08,0.0,0.0
François Truffaut,0,The Man Who Loved Women,1977-04-27,0.0,0.0
Terence H. Winkless,0,Nightmare City 2035,2007-01-01,0.0,0.0
Ash Christian,0,Petunia,2013-06-28,0.0,0.0
Alan Brown,0,Five Dances,2013-06-19,0.0,0.0
Veli-Pekka Hänninen,0,The Storage,2011-12-30,0.0,0.0
Marcus Johnson,0,Food Stamped,2010-10-09,0.0,0.0
Elia Cmiral,0,Pulse 2: Afterlife,2008-09-30,0.0,0.0
Allison Anders,0,Sugar Town,1999-09-17,0.0,0.0
Lee Dichter,0,Cold River,1982-03-01,0.0,0.0
David Denneen,0,Restraint,2008-08-19,0.0,0.0
Ivan Passer,0,Kidnapped,1995-11-05,0.0,0.0
William Nigh,2.0551724137931036,Across to Singapore,1928-04-07,290000.0,596000.0
Daniel Gordon,0,9.79*,2012-10-09,0.0,0.0
Rosanna Arquette,0,Searching for Debra Winger,2002-07-13,0.0,0.0
Takashi Shimizu,0,Reincarnation,2005-10-26,0.0,0.0
Robert Kulzer,0,Skinwalkers,2006-03-20,0.0,0.0
Howard Shore,3.2205261555555555,The Departed,2006-10-05,90000000.0,289847354.0
Adam Sandler,0,Strange Wilderness,2008-02-01,0.0,6575282.0
Todd Kellstein,0,Buffalo Girls,2012-11-14,0.0,0.0
Ernie Bishop,0,Quarterback Princess,1983-12-03,0.0,0.0
Lee Percy,0.0,Wind Chill,2007-04-27,6000000.0,0.0
Olaf Lubaszenko,0,E=mc²,2002-08-23,0.0,0.0
John Fante,0,Jeanne Eagels,1957-08-02,0.0,0.0
Zhang Yimou,0.50031,Riding Alone for Thousands of Miles,2005-12-22,7500000.0,3752325.0
Tobe Hooper,0,Mortuary,2005-08-08,0.0,0.0
Franco Ferrini,0,Do You Like Hitchcock?,2005-03-19,0.0,0.0
,0,Bending Colours,2012-01-01,0.0,0.0
Robert Vince,0,Santa Paws 2: The Santa Pups,2012-11-20,0.0,0.0
Darren Grodsky,0,Humboldt County,2008-01-01,0.0,0.0
Giuliano Taviani,0,Viva l'Italia,2012-10-25,0.0,0.0
D. Jud Jones,0,Film Noir,2007-03-02,0.0,0.0
Pen-Ek Ratanaruang,0.0,Ploy,2007-05-21,2000000.0,0.0
Franck Vestiel,0,Eden Log,2007-12-26,0.0,0.0
Lina Wertmüller,0,A Night Full of Rain,1978-01-17,0.0,0.0
Michael Blieden,0,Super High Me,2007-10-13,0.0,0.0
George S. Clinton,0,Brainscan,1994-04-22,0.0,4352094.0
William Lubtchansky,0,Joan the Maid 1: The Battles,1994-02-09,0.0,0.0
Jacques Rivette,0,Joan the Maid 2: The Prisons,1994-02-09,0.0,0.0
Chris Marker,0,The Koumiko Mystery,1965-10-09,0.0,0.0
David J. Bomba,0.47035296666666665,Cool World,1992-07-10,30000000.0,14110589.0
Thomas Gomez Durham,0.0,95ers: Time Runners,2013-02-14,750.0,0.0
Larry Cohen,0.0,Maniac Cop,1988-05-13,1100000.0,0.0
Billy DaMota,0,Sam Steele and the Junior Detective Agency,2011-01-04,0.0,0.0
Roy Andersson,0,Saturday October 5th,1969-10-10,0.0,0.0
Philippe Martin,0,Laissons Lucie faire !,2000-12-27,0.0,0.0
Ben Hecht,0,7 Faces of Dr. Lao,1964-03-18,0.0,0.0
Sandeep Chowta,0,Kaun?,1999-02-26,0.0,0.0
Chris Smith,0,American Movie,1999-11-05,0.0,0.0
Fab 5 Freddy,0,Wild Style,1983-03-18,0.0,0.0
Marty Callner,0,Chris Rock: Kill the Messenger,2008-09-27,0.0,0.0
Michael Frost Beckner,0.0,Sniper 2,2002-12-28,5000000.0,0.0
Ferne Cassel,0,Sniper 3,2004-10-18,0.0,0.0
Laurent Bouzereau,0,The Making of 'The Bridge on the River Kwai',2000-01-01,0.0,0.0
Anthony Leondis,1.2,Igor,2008-09-19,25000000.0,30000000.0
Antonio Muño-Hierro,0.5183982683982684,The Precocious and Brief Life of Sabina Rivas,2012-11-09,4620000.0,2395000.0
Chris Lebenzon,0,Revenge,1990-02-16,0.0,15645616.0
Young-jae Lee,0,The Harmonium in My Memory,1999-03-27,0.0,0.0
Marek Polgar,0,Exit,2011-01-01,0.0,0.0
Allan Moyle,0,Weirdsville,2007-10-12,0.0,0.0
Raul Inglis,0,Vice,2008-01-01,0.0,0.0
David Delrieux,0,Des fleurs pour Algernon,2006-11-14,0.0,0.0
Jahong Koo,0,Dangerously Excited,2011-02-01,0.0,0.0
Debra Zane,0,The Uninvited,2009-01-30,0.0,41624046.0
Adam Rapp,0.03250942857142857,Winter Passing,2006-02-07,3500000.0,113783.0
PES,0,Fresh Guacamole,2012-03-02,0.0,0.0
PES,0,Fresh Guacamole,2012-03-02,0.0,0.0
Danièle Thompson,0,Delusions of Grandeur,1971-04-01,0.0,0.0
Jan-Willem Breure,0,Are All Men Pedophiles?,2012-02-29,0.0,0.0
Won Il,0,Wonderful Days,2003-07-17,0.0,0.0
Gil Mellé,0,That Certain Summer,1972-11-01,0.0,0.0
Žiga Virc,0,"Houston, We Have a Problem!",2016-05-05,0.0,0.0
John Waters,0.0,Desperate Living,1977-05-27,65000.0,0.0
,0,Hip-Hop: Beyond Beats & Rhymes,2006-01-01,0.0,0.0
Eeshwar Nivas,0,Love Ke Liye Kuch Bhi Karega,2001-06-21,0.0,0.0
C. Kim Miles,0,Love at the Thanksgiving Day Parade,2012-11-04,0.0,0.0
Carlo De Rosa,0,Finding Joy,2013-06-07,0.0,0.0
Masaki Kobayashi,0,Fountainhead,1956-02-26,0.0,0.0
John Waters,0.0,Female Trouble,1974-10-04,25000.0,0.0
Chris Hegedus,0,Startup.com,2001-01-01,0.0,0.0
John Waters,0.0,Polyester,1981-05-29,300000.0,0.0
Bernd Eichinger,2.64360646,Perfume: The Story of a Murderer,2006-09-13,50000000.0,132180323.0
Brian Grazer,0.24346918264473755,Beyond the Mat,1999-10-22,2053648.0,500000.0
Christian Alvart,0,8:28 AM,2010-09-17,0.0,0.0
Wayne Wang,0,Chan Is Missing,1982-01-01,0.0,0.0
Tsai Ming-liang,0,Walker,2012-09-08,0.0,0.0
Marc Singer,0,Dark Days,2000-08-30,0.0,0.0
Ward Serrill,0,The Heart of the Game,2005-01-01,0.0,0.0
Viktor Makarov,0,Take Care of the Women!,1981-10-01,0.0,0.0
Steve James,11.186587142857142,Hoop Dreams,1994-09-12,700000.0,7830611.0
Georgi Natanson,0,Valentin and Valentina,1985-12-12,0.0,0.0
Robert H. Gwinn,0,Deadly Renovations,2010-01-09,0.0,0.0
Dylan Avery,0.0,Loose Change: 2nd Edition,2006-06-01,5000.0,0.0
Konstantin Isayev,0,True Friends,1954-04-20,0.0,0.0
Henry Alex Rubin,5.834036666666667,Murderball,2005-07-22,300000.0,1750211.0
Amir Bar-Lev,0,My Kid Could Paint That,2007-01-01,0.0,0.0
Aleksandr Zarkhi,0,Height,1957-04-27,0.0,0.0
Eldar Shengelaya,0,"Blue Mountains, or Unbelievable Story",1984-12-03,0.0,0.0
Robert Rodriguez,3.3857097241379313,Once Upon a Time in Mexico,2003-09-11,29000000.0,98185582.0
Carroll Ballard,0,Never Cry Wolf,1983-10-07,0.0,0.0
Bakhyt Kilibayev,0,Гонгофер,1992-01-01,0.0,0.0
Konstantin Sedykh,0,Dauria,1972-05-08,0.0,0.0
Yutaka Maseba,0,Ninja Scroll,1993-06-05,0.0,0.0
François Girard,0.5275226666666667,The Red Violin,1998-09-10,18000000.0,9495408.0
Sergey Nikonenko,0,Hell's Bells,1988-01-01,0.0,0.0
David Sington,0.0,In the Shadow of the Moon,2007-01-19,2000000.0,0.0
Errol Morris,0,The Thin Blue Line,1988-08-28,0.0,0.0
Robert J. Miller,0,Why We Fight,2005-01-01,0.0,0.0
James D. Stern,0,The Year of the Yao,2004-09-16,0.0,38585.0
Tay Garnett,0,Cheers For Miss Bishop,1941-02-21,0.0,0.0
Yuli Raizman,0,Kommunist,1958-02-03,0.0,0.0
Félix Enríquez Alcalá,0.26666666666666666,Fire Down Below,1997-09-05,60000000.0,16000000.0
George Roy,0,Mantle,2005-07-13,0.0,0.0
Rodrigo Prieto,0.8707228666666667,25th Hour,2002-12-16,15000000.0,13060843.0
Justin Lin,0,Better Luck Tomorrow,2002-01-12,0.0,0.0
Conrad L. Hall,0,Searching for Bobby Fischer,1993-08-13,0.0,7266383.0
James Cullingham,0,In Search of Blind Joe Death: The Saga of John Fahey,2013-08-16,0.0,0.0
Bill Frisell,0,The Great Flood,2012-11-17,0.0,0.0
Yasujirō Ozu,0,Woman of Tokyo,1933-02-09,0.0,0.0
Gavin O'Connor,2.3016324285714287,Miracle,2004-02-06,28000000.0,64445708.0
Mars Callahan,0,Poolhall Junkies,2002-06-07,0.0,0.0
Gene Quintano,0,Why Me?,1990-04-20,0.0,0.0
Kenneth Lonergan,0,You Can Count on Me,2000-11-17,0.0,0.0
Nick McKinney,0,"Dave Attell: Hey, Your Mouth's Not Pregnant!",2006-04-20,0.0,0.0
Richard Dawkins,0,Root of All Evil?,2006-01-09,0.0,0.0
Anthony Page,0,Grace Kelly,1983-02-21,0.0,0.0
Stefan Marc,0,Dating Games People Play,2008-02-12,0.0,0.0
René Clément,0,The Joy of Living,1961-05-11,0.0,0.0
Shane Meadows,0,Somers Town,2008-08-22,0.0,0.0
Mauro Bolognini,0,La corruzione,1963-11-22,0.0,0.0
James W. Payne,0,Scott Joplin,1977-12-30,0.0,0.0
Vonzell Scott,0,A Get2Gether,2005-09-28,0.0,0.0
Beyoncé Knowles,0.0,Cadillac Records,2008-12-05,12000000.0,0.0
Lewis Milestone,0.0,All Quiet on the Western Front,1930-04-29,1250000.0,0.0
Michael Moore,8.89111825,Bowling for Columbine,2002-10-09,4000000.0,35564473.0
Aleksandr Muratov,0,Львиная доля,2001-01-01,0.0,0.0
Joss Whedon,1.5e-05,Dr. Horrible's Sing-Along Blog,2008-07-15,200000.0,3.0
Scott Coffey,0,Adult World,2013-04-18,0.0,0.0
